SOURCE_ID,SOURCE_TYPE,TITLE,URL,PUBLICATION_DATE,AUTHOR,CHANNEL_ID,FIRST_PARTY_STATUS,RETRIEVAL_DATE,RAW_ARTIFACT_SHA256,TRANSCRIPT_AVAILABLE,FRAME_EXTRACTION_AVAILABLE,NOTES
REC_WEB_AOO,WEBSITE_PAGE,AoO,https://tradingmmt.com/aoo/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party URL linked from TG_ARJOIOTRADING_778; recovery locator only until payload captured
REC_WEB_STOP_LOSS,WEBSITE_PAGE,Stop Loss Placement,https://tradingmmt.com/stop-loss-placement/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party Trading MMT recovery locator; semantic credit only after direct payload capture
REC_WEB_EXACT_STOP,WEBSITE_PAGE,This Is Exactly Where to Place Your Stop Loss,https://tradingmmt.com/this-is-exactly-where-to-place-your-stop-loss/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party Trading MMT recovery locator for 2CR/FVA stop context; semantic credit only after direct payload capture
REC_WEB_BROKEN_PLAN,WEBSITE_PAGE,How to Fix a Broken Trading Plan Immediately,https://tradingmmt.com/how-to-fix-a-broken-trading-plan-immediately/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party Trading MMT recovery locator for AoO timeframe hierarchy; semantic credit only after direct payload capture
REC_WEB_LTF_ENTRIES,WEBSITE_PAGE,The Best LTF Entries Happen Here,https://tradingmmt.com/the-best-ltf-entries-happen-here/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party Trading MMT recovery locator for HTF AoO to LTF entry context; semantic credit only after direct payload capture
REC_WEB_EASIEST_AREAS,WEBSITE_PAGE,The Easiest Areas to Trade,https://tradingmmt.com/the-easiest-areas-to-trade/,,Arjo Janssens,tradingmmt.com,CONFIRMED_FIRST_PARTY_LINKED,2026-08-16,,UNKNOWN,UNKNOWN,Direct first-party Trading MMT recovery locator for AoO/target context; semantic credit only after direct payload capture
YT_VIDEO_VwcuxpIBcsI,YOUTUBE_VIDEO,New: Fair Value Area,https://www.youtube.com/watch?v=VwcuxpIBcsI,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-16,,UNKNOWN,UNKNOWN,Canonical official source; bounded reacquisition for issue 48
YT_VIDEO_FIZW4KHuQxI,YOUTUBE_VIDEO,Perfect Entries are a Lie - Here's What Actually Works,https://www.youtube.com/watch?v=FIZW4KHuQxI,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-16,,UNKNOWN,UNKNOWN,Canonical official source linked as Entries from first-party Telegram
YT_VIDEO_y-5HMIDOW_0,YOUTUBE_VIDEO,Use Structure + Liquidity to Know What The Market Is Doing,https://www.youtube.com/watch?v=y-5HMIDOW_0,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-16,,UNKNOWN,UNKNOWN,Canonical official source linked as FVA video from first-party Telegram
YT_VIDEO_TNEpdqOB-9Q,YOUTUBE_VIDEO,FVGs Don't Work Unless You Use THIS - Ep. 14,https://www.youtube.com/watch?v=TNEpdqOB-9Q,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-16,,UNKNOWN,UNKNOWN,Canonical official FVG source; bounded reacquisition for issue 48
YT_STREAM_Y4E6kMjJI_w,YOUTUBE_STREAM,Arjo's Live 2CR Theory,https://www.youtube.com/watch?v=Y4E6kMjJI_w,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-16,,UNKNOWN,UNKNOWN,Canonical official 2CR stream; bounded reacquisition for issue 48
TG_ARJOIOTRADING_778,TELEGRAM_POST,Arjoio Trading Telegram post 778,https://t.me/ArjoioTrading/778,2025-05-07,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,AoO/FVA/FVG/2CR example source
TG_ARJOIOTRADING_783,TELEGRAM_POST,Arjoio Trading Telegram post 783,https://t.me/ArjoioTrading/783,2025-05-18,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,Dedicated FVA lesson locator source
TG_ARJOIOTRADING_774,TELEGRAM_POST,Arjoio Trading Telegram post 774,https://t.me/ArjoioTrading/774,2025-04-29,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,FVG daily/4h context source
TG_ARJOIOTRADING_756,TELEGRAM_POST,Arjoio Trading Telegram post 756,https://t.me/ArjoioTrading/756,2025-03-23,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,2CR occurrence recovery source
TG_ARJOIOTRADING_725,TELEGRAM_POST,Arjoio Trading Telegram post 725,https://t.me/ArjoioTrading/725,2024-11-10,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,2CR occurrence recovery source
TG_ARJOIOTRADING_739,TELEGRAM_POST,Arjoio Trading Telegram post 739,https://t.me/ArjoioTrading/739,2025-01-05,Arjoio Trading,ArjoioTrading,CONFIRMED_FIRST_PARTY,2026-08-16,,NOT_APPLICABLE,UNKNOWN,First-party Telegram locator to Arjo Live 2CR Theory and stop-loss page
