SOURCE_ID,SOURCE_TYPE,TITLE,URL,PUBLICATION_DATE,AUTHOR,CHANNEL_ID,FIRST_PARTY_STATUS,RETRIEVAL_DATE,RAW_ARTIFACT_SHA256,TRANSCRIPT_AVAILABLE,FRAME_EXTRACTION_AVAILABLE,NOTES
ROOT_ZAAP_ARJO,LINK_HUB,Arjo link hub,https://zaap.bio/arjo,,Arjo,,PROVISIONAL_FIRST_PARTY,2026-08-15,,NOT_APPLICABLE,NOT_APPLICABLE,Locator only; zero semantic closure credit until first-party provenance confirmed
ROOT_TELEGRAM_ARJOIOTRADING,PLATFORM_ROOT,Arjoio Trading Telegram,https://t.me/ArjoioTrading,,Arjo,,PROVISIONAL_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Public channel cross-links confirmed Arjo surfaces; provenance confirmation still required
ROOT_INSTAGRAM_ARJOIO,PLATFORM_ROOT,Arjo Instagram,https://www.instagram.com/arjoio/,,Arjo,,PROVISIONAL_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Cross-linked with confirmed Arjo surfaces; direct retrieval currently unavailable
ROOT_YOUTUBE_ARJOIO,PLATFORM_ROOT,Arjo YouTube,https://www.youtube.com/@Arjoio,,Arjo,,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,DISCOVERY_ROOT_ONLY; zero semantic closure until item-level evidence
ROOT_X_ARJOIO,PLATFORM_ROOT,Arjo on X,https://x.com/arjoio,,Arjo,,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,DISCOVERY_ROOT_ONLY; direct first-party account
ROOT_WEBSITE_ARJOIO,WEBSITE_ROOT,arjo.io,https://arjo.io/,,Arjo,,CONFIRMED_FIRST_PARTY,2026-08-15,,NOT_APPLICABLE,UNKNOWN,Legacy first-party property; redirect observed to Trading MMT
ROOT_WEBSITE_TRADINGMMT,WEBSITE_ROOT,Trading MMT,https://tradingmmt.com/,,Arjo / Trading MMT,,CONFIRMED_FIRST_PARTY,2026-08-15,,NOT_APPLICABLE,UNKNOWN,Current destination of arjo.io; item-level educational pages must be separately registered
YT_PLAYLIST_PL5IcOO7sZoK04boclR5LzHbSgUAUCmSOY,YOUTUBE_PLAYLIST,A-Z Guide,https://www.youtube.com/playlist?list=PL5IcOO7sZoK04boclR5LzHbSgUAUCmSOY,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK0RvEASOJbInnrMv6f8gCD0,YOUTUBE_PLAYLIST,PD Arrays,https://www.youtube.com/playlist?list=PL5IcOO7sZoK0RvEASOJbInnrMv6f8gCD0,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK1VIMxFQqQaxgL6ydoy8Yte,YOUTUBE_PLAYLIST,Update Videos,https://www.youtube.com/playlist?list=PL5IcOO7sZoK1VIMxFQqQaxgL6ydoy8Yte,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK1st959YhRjgKFqWCUm3i1e,YOUTUBE_PLAYLIST,Liquidity,https://www.youtube.com/playlist?list=PL5IcOO7sZoK1st959YhRjgKFqWCUm3i1e,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK23VQcfhC-mPd_0b8rB0Rt4,YOUTUBE_PLAYLIST,MMC,https://www.youtube.com/playlist?list=PL5IcOO7sZoK23VQcfhC-mPd_0b8rB0Rt4,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK2owXhi3Iipl2PuPypVXOYQ,YOUTUBE_PLAYLIST,Market Mastery,https://www.youtube.com/playlist?list=PL5IcOO7sZoK2owXhi3Iipl2PuPypVXOYQ,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_PLAYLIST_PL5IcOO7sZoK32hR3X8QSvFaMQzxuE1aK-,YOUTUBE_PLAYLIST,2026 Guides,https://www.youtube.com/playlist?list=PL5IcOO7sZoK32hR3X8QSvFaMQzxuE1aK-,,View full playlist,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube playlists surface; relevance unassessed; no semantic closure performed
YT_SHORT_--GY5q368DY,YOUTUBE_SHORT,"In trading , less is more",https://www.youtube.com/shorts/--GY5q368DY,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_-aNcUZpI8IY,YOUTUBE_SHORT,Breakaway Gaps Are NOT Tricky❗,https://www.youtube.com/shorts/-aNcUZpI8IY,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_0WbghWrtV8Q,YOUTUBE_SHORT,"Don't look at liquidity , use FVGs instead",https://www.youtube.com/shorts/0WbghWrtV8Q,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_0fIajFVtQZg,YOUTUBE_SHORT,Liquidity Sweeps vs Runs (simplified),https://www.youtube.com/shorts/0fIajFVtQZg,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_0u_1-EnzKXA,YOUTUBE_SHORT,You can determine your Bias with just FVGs 💯,https://www.youtube.com/shorts/0u_1-EnzKXA,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_1WCDl4vYPlQ,YOUTUBE_SHORT,How to pass your prop firm challenge 📈,https://www.youtube.com/shorts/1WCDl4vYPlQ,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_21sOP3_iWxI,YOUTUBE_SHORT,Be careful when using FVGs,https://www.youtube.com/shorts/21sOP3_iWxI,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_2Ylkshqwfs4,YOUTUBE_SHORT,You don’t need to catch 100RR moves,https://www.youtube.com/shorts/2Ylkshqwfs4,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_2vMB4es2UYA,YOUTUBE_SHORT,This is the only reversal pattern you need in trading 💯,https://www.youtube.com/shorts/2vMB4es2UYA,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_32lYz68ktcw,YOUTUBE_SHORT,What actually is Offering Fair Value?,https://www.youtube.com/shorts/32lYz68ktcw,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_34FS0go-ObI,YOUTUBE_SHORT,This what Liquidity in the market really is...,https://www.youtube.com/shorts/34FS0go-ObI,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_4dQ6A6RMo2E,YOUTUBE_SHORT,Trading = Mastering the Basics,https://www.youtube.com/shorts/4dQ6A6RMo2E,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_72iZU6iYWqM,YOUTUBE_SHORT,Daily Bias Defined (secrets),https://www.youtube.com/shorts/72iZU6iYWqM,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_793mtSldCTo,YOUTUBE_SHORT,Developing A Trading Plan Made Easy!,https://www.youtube.com/shorts/793mtSldCTo,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_7lw7yEj4YuA,YOUTUBE_SHORT,7 Things I wish I knew when I started trading...,https://www.youtube.com/shorts/7lw7yEj4YuA,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_8RuafyGCuuA,YOUTUBE_SHORT,Know your Order Flow Legs ⚡,https://www.youtube.com/shorts/8RuafyGCuuA,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_8bc4QFGs_jU,YOUTUBE_SHORT,The secrets to mastering Liquidity 📈,https://www.youtube.com/shorts/8bc4QFGs_jU,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
YT_SHORT_8nSEpmfLUzk,YOUTUBE_SHORT,Offering Fair Value vs Seeking Liquidity,https://www.youtube.com/shorts/8nSEpmfLUzk,,Arjo,UCM8bXuYt7JZ0G7mcoYY9v7Q,CONFIRMED_FIRST_PARTY,2026-08-15,,UNKNOWN,UNKNOWN,Discovered deterministically from official YouTube shorts surface; relevance unassessed; no semantic closure performed
